id,title,src,image,type
1,一次性婴儿、儿童、大人、专用口罩，防尘透气舒适，外出办公出行必备一次性安全防护口罩,https://item.jd.com/65924764659.html,https://img14.360buyimg.com/n7/jfs/t1/103632/27/13595/104633/5e5a10c4Ebaf0b635/b346b88ee05ba5fa.jpg,0
2,花蕾一次性口罩KN95防护无呼吸阀成人耳戴式HZ 10只,https://item.jd.com/65941154512.html,https://img12.360buyimg.com/n7/jfs/t1/92028/33/13571/163745/5e5a7abbE6b32c679/b8205cdb0c4bc4df.jpg,0
3,EMS发货/连锁药房正品保障请看详情页面KN95随机发货,https://item.jd.com/65792065513.html,https://img13.360buyimg.com/n7/jfs/t1/91532/34/14673/147519/5e684ab7E83f7ac38/db976ec5575e4639.jpg,0
4,【现货】ETIQA 韩国进口KF94口罩 L码 防飞沫唾沫成人男女通用口罩 ETIQA KF94午夜黑3只装,https://item.jd.com/66062144323.html,https://img13.360buyimg.com/n7/jfs/t1/100589/17/13944/74113/5e5f4ffbE7b25cc26/65bff9e3c12204b3.jpg,0
5,KN95口罩，四层防护，顺丰包邮，极速发货,https://item.jd.com/65857573929.html,https://img14.360buyimg.com/n7/jfs/t1/100389/16/14132/91221/5e60f445Eb3f7dc11/86859e4e541185e6.jpg,0
6,雅彩洁（YACAIJIE）75%酒精喷雾消毒水80ml家庭消毒液皮肤消毒家用消毒喷剂,https://item.jd.com/100006291851.html,https://img11.360buyimg.com/n7/jfs/t1/107770/28/5874/36160/5e4287bdEe6f3ad48/08bb6f776ec2f5ab.jpg,1
7,消毒酒精75% 500ml 博投 家居物品清洁消毒 新老包装随机发货擦拭使用，禁止接近火源！,https://item.jd.com/100011385516.html,https://img11.360buyimg.com/n7/jfs/t1/85387/2/13009/48513/5e4f6f91Ebec5ad53/1a63f45c078aa852.jpg,1
8,海氏海诺 医用消毒棉片 酒精棉片 50片装（一次性使用）,https://item.jd.com/1167434.html,https://img14.360buyimg.com/n7/jfs/t22090/126/2540693413/270641/b3e3e82d/5b5abf22N7316ff0d.jpg,1
9,现货，买酒精送喷瓶】医用75%乙醇酒精消毒剂水液清洁免洗皮肤消毒抑菌杀菌,https://item.jd.com/65419425513.html,https://img13.360buyimg.com/n7/jfs/t1/90273/23/14103/108835/5e61af2aE5c56d15c/271b7068e7e27111.jpg,1
10,海氏海诺 75%医用酒精消毒棉球 酒精棉球 90粒/瓶（镊子随机赠送,https://item.jd.com/3754961.html,https://img11.360buyimg.com/n7/jfs/t1/84571/13/3013/359319/5d0ca9d4Edda89040/db782cdea891aa9b.jpg,1
